"zone","year","yrwgtsum","nonNAarea","yrwgtmean","plot_with"
3,2013,336657.7237,621415.9203,0.54175909,"chlorophyllA"
3,2014,224712.8229,559793.7298,0.401420757,"chlorophyllA"
3,2015,231227.8006,537572.7682,0.430133024,"chlorophyllA"
3,2016,538935.9295,758765.6663,0.710279805,"chlorophyllA"
3,2017,478210.3756,776848.1778,0.61557765,"chlorophyllA"
3,2018,409656.1317,762021.9566,0.537590982,"chlorophyllA"
3,2019,474028.4611,808139.0338,0.586567956,"chlorophyllA"
3,2020,461279.0761,731493.886,0.630598676,"chlorophyllA"
3,2021,608392.5834,799679.2836,0.760795729,"chlorophyllA"
3,2022,613026.3106,821215.7366,0.746486317,"chlorophyllA"
3,2023,601748.7565,853491.807,0.705043389,"chlorophyllA"
3,2024,288125.1667,809084.1457,0.356112733,"chlorophyllA"
5,1998,366989.8417,584145.8574,0.628250354,"chlorophyllA"
5,1999,347161.638,735572.7657,0.471960973,"chlorophyllA"
5,2000,356265.3636,715958.941,0.497605859,"chlorophyllA"
5,2001,418485.281,759937.6298,0.55068372,"chlorophyllA"
5,2002,455370.8319,806505.8523,0.564621857,"chlorophyllA"
5,2003,582284.5277,853310.1963,0.682383183,"chlorophyllA"
5,2004,510484.3072,841306.9766,0.606775317,"chlorophyllA"
5,2005,668505.9462,937394.0987,0.713153568,"chlorophyllA"
5,2006,385048.9932,824396.8259,0.467067535,"chlorophyllA"
5,2007,256619.6971,869177.5257,0.295244285,"chlorophyllA"
5,2008,414283.9224,819403.5095,0.505592077,"chlorophyllA"
5,2009,691817.0788,852466.1103,0.811547897,"chlorophyllA"
5,2010,630064.9743,876121.906,0.719152175,"chlorophyllA"
5,2011,617865.8283,868422.922,0.711480331,"chlorophyllA"
5,2012,722004.072,840568.7682,0.85894706,"chlorophyllA"
5,2013,777144.3928,904373.366,0.859318089,"chlorophyllA"
5,2014,469951.6523,810672.3035,0.579706066,"chlorophyllA"
5,2015,346281.6642,735921.2606,0.470541732,"chlorophyllA"
5,2016,522923.9319,858466.5946,0.609137193,"chlorophyllA"
5,2017,353035.7588,876684.4301,0.402694227,"chlorophyllA"
5,2018,404021.8222,917408.1497,0.440394847,"chlorophyllA"
5,2019,620095.6037,928900.9221,0.66755839,"chlorophyllA"
5,2020,562036.0936,903131.4451,0.622319261,"chlorophyllA"
5,2021,522675.5478,819790.9724,0.637571729,"chlorophyllA"
5,2022,591505.5089,909526.6891,0.650344312,"chlorophyllA"
5,2023,577781.7814,941462.9037,0.61370637,"chlorophyllA"
5,2024,414487.2412,914323.785,0.453326544,"chlorophyllA"
0,1998,125353.3336,573642.0072,0.218521887,"chlorophyllA"
0,1999,177033.4071,796408.4324,0.22228972,"chlorophyllA"
0,2000,212143.8124,1019789.675,0.208027025,"chlorophyllA"
0,2001,221100.8925,1035392.623,0.213543044,"chlorophyllA"
0,2002,214499.3146,1043089.408,0.205638474,"chlorophyllA"
0,2003,221190.0641,1079363.384,0.204926411,"chlorophyllA"
0,2004,167355.9517,1002822.476,0.166884923,"chlorophyllA"
0,2005,229698.0549,1053630.293,0.218006313,"chlorophyllA"
0,2006,203793.9244,1028676.184,0.198112805,"chlorophyllA"
0,2007,217736.2404,1061980.358,0.205028501,"chlorophyllA"
0,2008,194596.0702,1025988.236,0.18966696,"chlorophyllA"
0,2009,279174.6123,1054374.814,0.264777391,"chlorophyllA"
0,2010,288098.8745,1071527.32,0.268867503,"chlorophyllA"
0,2011,342626.047,1078073.792,0.317813168,"chlorophyllA"
0,2012,279591.1664,1081271.261,0.258576341,"chlorophyllA"
0,2013,280668.931,1073088.21,0.261552525,"chlorophyllA"
0,2014,308083.0716,1072316.596,0.287306074,"chlorophyllA"
0,2015,324774.7763,1070268.199,0.303451767,"chlorophyllA"
0,2016,260775.2498,1077172.004,0.242092487,"chlorophyllA"
0,2017,235455.2122,1076193.573,0.218785187,"chlorophyllA"
0,2018,275488.1439,1081578.125,0.254709427,"chlorophyllA"
0,2019,245060.7265,1081450.654,0.226603706,"chlorophyllA"
0,2020,295715.7948,1080343.121,0.273723958,"chlorophyllA"
0,2021,276692.8565,1071749.576,0.258169317,"chlorophyllA"
0,2022,321977.3699,1079402.836,0.298292129,"chlorophyllA"
0,2023,279458.8519,1081648.418,0.258363852,"chlorophyllA"
0,2024,244024.9812,1081648.418,0.225604713,"chlorophyllA"
1,1998,169816.3891,859017.7921,0.197686696,"chlorophyllA"
1,1999,208180.1123,977376.2946,0.212998938,"chlorophyllA"
1,2000,294827.4073,1326866.596,0.222198229,"chlorophyllA"
1,2001,278153.241,1370893.052,0.2028993,"chlorophyllA"
1,2002,221705.4834,1373800.04,0.161381189,"chlorophyllA"
1,2003,217175.751,1406546.536,0.154403531,"chlorophyllA"
1,2004,202401.7377,1329150.704,0.152278998,"chlorophyllA"
