"zone","year","yrwgtsum","nonNAarea","yrwgtmean","yrsd","plot_with"
6,1998,734612.896746947,404505.832420382,1.8160749187505,2.58281858585426,"chlorophyllA"
6,1999,212393.324934659,451840.374524748,0.470062740980279,0.675705246162052,"chlorophyllA"
6,2000,360929.385756256,836706.036746571,0.431369405627435,0.717078228398915,"chlorophyllA"
6,2001,822065.774377663,446484.52796858,1.8411965541514,2.90350645602091,"chlorophyllA"
6,2002,555239.786659822,729888.822449979,0.760718303365817,1.3320204657276,"chlorophyllA"
6,2003,325741.601469157,297779.977859276,1.09390028104272,1.06273618806042,"chlorophyllA"
6,2004,613442.609464985,666613.766998366,0.92023693454037,1.20346794638222,"chlorophyllA"
6,2005,1056945.03689249,988805.212920923,1.0689112709775,1.22353436587553,"chlorophyllA"
6,2006,638964.824877374,857449.676458968,0.745192216429683,1.0528702950909,"chlorophyllA"
6,2007,217080.485265463,490291.124260593,0.442758341980679,0.752621158125935,"chlorophyllA"
6,2008,268270.599023628,338953.159883979,0.791468057460961,1.25352532477109,"chlorophyllA"
6,2009,286567.312023122,392310.137484114,0.730461144493688,0.849081978462678,"chlorophyllA"
6,2010,416437.270627973,614942.977053505,0.677196563205469,0.90354288345851,"chlorophyllA"
6,2011,752505.564652566,636611.084869408,1.18204910743414,1.3319737502362,"chlorophyllA"
6,2012,1008922.91215428,421428.517532597,2.39405467399637,1.75413012104249,"chlorophyllA"
6,2013,825639.688704958,580987.489410331,1.4210971901356,1.14110402966269,"chlorophyllA"
6,2014,167719.646046537,264570.231678063,0.633932415535786,0.420561715306613,"chlorophyllA"
6,2015,133997.938010789,109964.097001402,1.21856079997711,1.2210331318787,"chlorophyllA"
6,2016,578981.484560943,576603.334578286,1.00412441246875,0.995538483873766,"chlorophyllA"
6,2017,540654.95535517,966365.449597429,0.559472563490755,0.768871730572578,"chlorophyllA"
6,2018,579884.65906214,907523.353836182,0.638974916304816,0.818700516818882,"chlorophyllA"
6,2019,528106.461635349,1051795.00885284,0.50210017844764,0.664186440525625,"chlorophyllA"
6,2020,649943.7853541,614287.601376523,1.05804477234715,1.11636674128595,"chlorophyllA"
6,2021,1019090.29298616,590089.660187764,1.72700923561666,2.13324095448412,"chlorophyllA"
6,2022,676403.459768205,824114.303628453,0.820764130400481,1.00229312623605,"chlorophyllA"
6,2023,1011122.29374176,1057940.62597031,0.955745784707335,1.11858381700103,"chlorophyllA"
6,2024,329662.376362704,803008.150093347,0.410534284520502,0.915828591471113,"chlorophyllA"
7,1998,1112787.42779215,2995892.38310735,0.371437717211312,0.315381584237671,"chlorophyllA"
7,1999,1326110.75640839,3598598.00087417,0.368507612155137,0.504960510533787,"chlorophyllA"
7,2000,1873247.3328355,4730257.41197798,0.396013825398182,0.388902610210551,"chlorophyllA"
7,2001,1689770.62751604,5071765.23246797,0.333172090990848,0.311239875486614,"chlorophyllA"
7,2002,1476035.19013848,4709105.24012868,0.313442812354338,0.222441133381831,"chlorophyllA"
7,2003,2678163.94126324,5934577.71083502,0.451281299488858,0.400054250298731,"chlorophyllA"
7,2004,2918564.87436888,6091530.0945903,0.479118518508309,0.508184928181192,"chlorophyllA"
7,2005,2698257.24367572,6078114.80874297,0.443929956669205,0.364006079087517,"chlorophyllA"
7,2006,3449098.90991438,5871351.53008753,0.58744547864995,0.616165990439143,"chlorophyllA"
7,2007,1703954.17641459,5753079.33265205,0.296181241017078,0.402046431827913,"chlorophyllA"
7,2008,1952039.40821183,5561698.00122605,0.350979036938271,0.454957461286034,"chlorophyllA"
7,2009,3199672.25097658,5956042.10553115,0.537214511630998,0.553979125767559,"chlorophyllA"
7,2010,3090363.4622975,5818050.56213653,0.53116820304199,0.514000461641916,"chlorophyllA"
7,2011,2697589.71992748,5723014.32069806,0.471358198453442,0.356133421626717,"chlorophyllA"
7,2012,3740752.6741215,5975221.4098484,0.626044194438714,0.673037038385366,"chlorophyllA"
7,2013,2612297.89223669,5728814.07611194,0.455992786208489,0.373974277092756,"chlorophyllA"
7,2014,2375675.9160653,5315229.9851369,0.446956373046595,0.309387035764905,"chlorophyllA"
7,2015,2360005.69754671,5654798.51032368,0.417345674339797,0.277676293498518,"chlorophyllA"
7,2016,3408524.57178327,6003596.32546793,0.567747128054551,0.545555120323464,"chlorophyllA"
7,2017,2343804.24580277,6190851.16988173,0.378591599359599,0.321971942809004,"chlorophyllA"
7,2018,2046356.07647984,6231266.65989209,0.328401300758211,0.24862210853836,"chlorophyllA"
